,Q1,Q1_feat1,Q1_feat2,Q1_feat3,Q1_feat4,Q1_feat5,Q1_feat7,Q2,Q2_feat1,Q2_feat2,Q2_feat3,Q2_feat5,Q3,Q3_feat1,Q3_feat2,Q3_feat3,Q3_feat4,Q3_feat6,Q4,Q4_feat1,Q4_feat3,Q5,Q5_feat1,Q5_feat2,Q5_feat3,Q5_feat4,Q5_feat6,Q6,Q6_feat1,Q6_feat2,Q6_feat3,Q6_feat4,Q7,Q7_feat1,Q7_feat2,Q7_feat3,Q7_feat5,Q8,Q8_feat1,Q8_feat2,Q8_feat3,Q8_feat5,Q9,Q9_feat1,Q9_feat2,Q9_feat3,Q9_feat4,Q9_feat6,Q10,Q10_feat1,Q10_feat2,Q10_feat3,Q10_feat4,Q10_feat6,Q10_feat7,Q11,Q11_feat1,Q11_feat2,Q11_feat3,Q11_feat5,Q12,Q12_feat1,Q12_feat2,Q12_feat3,Q12_feat5,Q13,Q13_feat1,Q13_feat2,Q13_feat4
18,"2,5",0,1,0,0,1,0,"1,2,3",1,1,1,0,"1,2,4",1,1,0,1,0,1,1,0,"1,4",1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"1,2,4",1,1,0,1,0,"2,4",0,1,0,1,0,0,3,0,0,1,0,2,0,1,0,0,1,1,0,0
20,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
21,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
22,5,0,0,0,0,1,0,3,0,0,1,0,4,0,0,0,1,0,1,1,0,no_values,0,0,0,0,0,1,1,0,0,0,3,0,0,1,0,2,0,1,0,0,3,0,0,1,0,0,3,0,0,1,0,0,0,3,0,0,1,0,3,0,0,1,0,1,1,0,0
23,5,0,0,0,0,1,0,3,0,0,1,0,4,0,0,0,1,0,1,1,0,4,0,0,0,1,0,3,0,0,1,0,1,1,0,0,0,2,0,1,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,4,0,0,0,0,1,1,0,0
24,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
25,7,0,0,0,0,0,1,5,0,0,0,1,6,0,0,0,0,1,1,1,0,6,0,0,0,0,1,2,0,1,0,0,3,0,0,1,0,5,0,0,0,1,"1,5",1,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,2,0,1,0,0,2,0,1,0
26,1,1,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0,1,1,0,3,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,3,0,0,1,0,2,0,1,0,0,0,3,0,0,1,0,0,0,1,1,0,0,0,3,0,0,1,0,1,1,0,0
27,1,1,0,0,0,0,0,3,0,0,1,0,3,0,0,1,0,0,1,1,0,"1,3,4",1,0,1,1,0,2,0,1,0,0,"1,3",1,0,1,0,"1,3",1,0,1,0,3,0,0,1,0,0,"1,2",1,1,0,0,0,0,2,0,1,0,0,"1,3",1,0,1,0,2,0,1,0
28,4,0,0,0,1,0,0,3,0,0,1,0,3,0,0,1,0,0,1,1,0,2,0,1,0,0,0,3,0,0,1,0,2,0,1,0,0,2,0,1,0,0,3,0,0,1,0,0,2,0,1,0,0,0,0,3,0,0,1,0,2,0,1,0,0,2,0,1,0
29,"1,5",1,0,0,0,1,0,1,1,0,0,0,"2,4",0,1,0,1,0,1,1,0,1,1,0,0,0,0,2,0,1,0,0,1,1,0,0,0,1,1,0,0,0,"1,3",1,0,1,0,0,"3,6",0,0,1,0,1,0,1,1,0,0,0,2,0,1,0,0,1,1,0,0
30,4,0,0,0,1,0,0,"1,2",1,1,0,0,2,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,"1,2",1,1,0,0,1,1,0,0,0,2,0,1,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,2,0,1,0,0,1,1,0,0
31,1,1,0,0,0,0,0,3,0,0,1,0,"3,4",0,0,1,1,0,1,1,0,3,0,0,1,0,0,1,1,0,0,0,3,0,0,1,0,1,1,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,1,1,0,0
32,3,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0,0,0,1,1,0,3,0,0,1,0,0,3,0,0,1,0,1,1,0,0,0,2,0,1,0,0,3,0,0,1,0,0,2,0,1,0,0,0,0,3,0,0,1,0,1,1,0,0,0,2,0,1,0
33,3,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,4,0,0,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0
34,5,0,0,0,0,1,0,3,0,0,1,0,2,0,1,0,0,0,1,1,0,4,0,0,0,1,0,2,0,1,0,0,3,0,0,1,0,3,0,0,1,0,2,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,1,0,2,0,1,0,0,1,1,0,0
35,5,0,0,0,0,1,0,2,0,1,0,0,4,0,0,0,1,0,1,1,0,3,0,0,1,0,0,2,0,1,0,0,2,0,1,0,0,1,1,0,0,0,4,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,1,0,3,0,0,1,0,1,1,0,0
37,3,0,0,1,0,0,0,3,0,0,1,0,3,0,0,1,0,0,1,1,0,4,0,0,0,1,0,1,1,0,0,0,2,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,2,0,1,0
38,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
39,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
40,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
41,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
42,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
43,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
44,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
45,5,0,0,0,0,1,0,2,0,1,0,0,2,0,1,0,0,0,1,1,0,2,0,1,0,0,0,3,0,0,1,0,2,0,1,0,0,2,0,1,0,0,"1,3",1,0,1,0,0,2,0,1,0,0,0,0,2,0,1,0,0,2,0,1,0,0,1,1,0,0
46,5,0,0,0,0,1,0,2,0,1,0,0,2,0,1,0,0,0,1,1,0,1,1,0,0,0,0,2,0,1,0,0,2,0,1,0,0,2,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,1,1,0,0
47,"1,2",1,1,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,1,1,0,"2,3",0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,"1,2",1,1,0,0,"2,4",0,1,0,1,0,"1,2",1,1,0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,1,0,0
48,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
49,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
