,1_Q1,1_Q10,1_Q10_5_TEXT,1_Q11,1_Q11_4_TEXT,1_Q12,1_Q12_4_TEXT,1_Q13,1_Q13_3_TEXT,1_Q185,1_Q185_5_TEXT,1_Q186,1_Q186_4_TEXT,1_Q1_6_TEXT,1_Q2,1_Q2_4_TEXT,1_Q3,1_Q3_5_TEXT,1_Q4,1_Q4_2_TEXT,1_Q5,1_Q5_35_TEXT,1_Q6,1_Q7,1_Q8,1_Q8_4_TEXT,1_Q9,1_Q9_5_TEXT,2_Q1,2_Q10,2_Q10_5_TEXT,2_Q11,2_Q11_4_TEXT,2_Q12,2_Q12_4_TEXT,2_Q13,2_Q13_3_TEXT,2_Q185,2_Q185_5_TEXT,2_Q186,2_Q186_4_TEXT,2_Q1_6_TEXT,2_Q2,2_Q2_4_TEXT,2_Q3,2_Q3_5_TEXT,2_Q4,2_Q4_2_TEXT,2_Q5,2_Q5_35_TEXT,2_Q6,2_Q7,2_Q8,2_Q8_4_TEXT,2_Q9,2_Q9_5_TEXT,3_Q1,3_Q10,3_Q10_5_TEXT,3_Q11,3_Q11_4_TEXT,3_Q12,3_Q12_4_TEXT,3_Q13,3_Q13_3_TEXT,3_Q185,3_Q185_5_TEXT,3_Q186,3_Q186_4_TEXT,3_Q1_6_TEXT,3_Q2,3_Q2_4_TEXT,3_Q3,3_Q3_5_TEXT,3_Q4,3_Q4_2_TEXT,3_Q5,3_Q5_35_TEXT,3_Q6,3_Q7,3_Q8,3_Q8_4_TEXT,3_Q9,3_Q9_5_TEXT,4_Q1,4_Q10,4_Q10_5_TEXT,4_Q11,4_Q11_4_TEXT,4_Q12,4_Q12_4_TEXT,4_Q13,4_Q13_3_TEXT,4_Q185,4_Q185_5_TEXT,4_Q186,4_Q186_4_TEXT,4_Q1_6_TEXT,4_Q2,4_Q2_4_TEXT,4_Q3,4_Q3_5_TEXT,4_Q4,4_Q4_2_TEXT,4_Q5,4_Q5_35_TEXT,4_Q6,4_Q7,4_Q8,4_Q8_4_TEXT,4_Q9,4_Q9_5_TEXT,5_Q1,5_Q10,5_Q10_5_TEXT,5_Q11,5_Q11_4_TEXT,5_Q12,5_Q12_4_TEXT,5_Q13,5_Q13_3_TEXT,5_Q185,5_Q185_5_TEXT,5_Q186,5_Q186_4_TEXT,5_Q1_6_TEXT,5_Q2,5_Q2_4_TEXT,5_Q3,5_Q3_5_TEXT,5_Q4,5_Q4_2_TEXT,5_Q5,5_Q5_35_TEXT,5_Q6,5_Q7,5_Q8,5_Q8_4_TEXT,5_Q9,5_Q9_5_TEXT,6_Q1,6_Q10,6_Q10_5_TEXT,6_Q11,6_Q11_4_TEXT,6_Q12,6_Q12_4_TEXT,6_Q13,6_Q13_3_TEXT,6_Q185,6_Q185_5_TEXT,6_Q186,6_Q186_4_TEXT,6_Q1_6_TEXT,6_Q2,6_Q2_4_TEXT,6_Q3,6_Q3_5_TEXT,6_Q4,6_Q4_2_TEXT,6_Q5,6_Q5_35_TEXT,6_Q6,6_Q7,6_Q8,6_Q8_4_TEXT,6_Q9,6_Q9_5_TEXT,Finished,Q1,Q10,Q10_5_TEXT,Q11,Q11_4_TEXT,Q12,Q12_4_TEXT,Q13,Q13_3_TEXT,Q183,Q184,Q184_4_TEXT,Q1_6_TEXT,Q2,Q20,Q2_4_TEXT,Q3,Q3_5_TEXT,Q4,Q4_2_TEXT,Q5,Q5_5_TEXT,Q6,Q7,Q7_4_TEXT,Q8,Q8_4_TEXT,Q9,Q9_5_TEXT,Random_ID,ResponseId,Unnamed: 0,a_checks,device_use,scenario
76,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,2,"1,2,3,4",no_values,"1,2",no_values,5,no_values,"1,2",no_values,"1,2,3,4",no_values,5,no_values,no_values,1,no_values,"2,3",no_values,1,no_values,1,no_values,"1,2",1,5,no_values,3,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,2,"1,2,3,4",no_values,"1,2",no_values,"1,3",no_values,"1,2",no_values,"1,2,3,4",no_values,5,no_values,no_values,5,no_values,"2,3",no_values,1,no_values,1,no_values,1,5,5,no_values,3,no_values,,2,"1,2,3,4",no_values,"1,2",no_values,1,no_values,4,no_values,"1,2","1,2",no_values,no_values,5,"2,6",no_values,"2,3",no_values,1,no_values,2,no_values,"1,2",5,no_values,5,no_values,3,no_values,86371,R_1IyARATsM45e8pg,408,1,"2,4,5,6",Suppose you want to a view a text message when you are alone at Starbucks.
77,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,2,"1,3",no_values,2,no_values,"1,3",no_values,"1,2",no_values,"1,3",no_values,5,no_values,no_values,5,no_values,2,no_values,1,no_values,1,no_values,1,5,5,no_values,"1,3",no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,2,3,no_values,2,no_values,"1,2,3",no_values,4,no_values,3,no_values,5,no_values,no_values,5,no_values,3,no_values,1,no_values,1,no_values,1,"2,3",5,no_values,3,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,,2,"1,3",no_values,"1,2",no_values,"1,3",no_values,"1,2",no_values,"1,2","1,2",no_values,no_values,5,"2,4",no_values,3,no_values,1,no_values,1,no_values,"1,2",5,no_values,5,no_values,1,no_values,35278,R_5dMltyC98shKMNz,413,1,"2,4,6","Suppose you want to take a click a photo when you with some people you know (e.g., acquaintances, colleagues) at home"
78,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,2,3,no_values,"1,2",no_values,5,no_values,"1,2",no_values,3,no_values,5,no_values,no_values,1,no_values,3,no_values,1,no_values,1,no_values,3,5,5,no_values,3,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,,"2,3,5","1,3",no_values,"1,2",no_values,"1,2",no_values,"1,2",no_values,"1,2","1,2",no_values,no_values,3,2,no_values,"1,2,3,4",no_values,1,no_values,1,no_values,"1,2",5,no_values,"2,3",no_values,"1,2,3",no_values,75638,R_3CTtsnkwioOVmRJ,417,1,"1,2,3,4,5,6",Suppose you want to browse the internet when you are with your close friends at a park.
79,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,"2,5","1,2,3,4",no_values,"1,2",no_values,"1,2,3",no_values,"1,2",no_values,"1,2,3,4",no_values,5,no_values,no_values,1,no_values,3,no_values,1,no_values,1,no_values,"1,2",3,5,no_values,3,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,,"2,5","1,2,3,4",no_values,2,no_values,5,no_values,1,no_values,"1,2",2,no_values,no_values,5,2,no_values,"2,4",no_values,1,no_values,1,no_values,"1,2","1,2,3",no_values,5,no_values,3,no_values,95183,R_3WsYjmLycBLfmhj,424,1,"2,3,4,5,6",Suppose you want to call your mother for sharing an important update about your life when you are with a very close friend at a restaurant
80,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,"2,5",3,no_values,2,no_values,1,no_values,4,no_values,3,no_values,5,no_values,no_values,5,no_values,3,no_values,1,no_values,"1,4",no_values,2,2,5,no_values,3,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,,"1,2,4","3,4",no_values,"1,3",no_values,"1,2",no_values,4,no_values,3,"1,3",no_values,no_values,3,2,no_values,"1,3",no_values,3,no_values,"1,4",no_values,3,2,no_values,2,no_values,"1,2",no_values,47208,R_1nNoUn5Nyws23hv,431,1,"1,2,3,4","Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant."
81,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,"2,5","1,2,3,4",no_values,"1,2",no_values,3,no_values,2,no_values,"1,2,3,4",no_values,2,no_values,no_values,1,no_values,"2,3",no_values,1,no_values,1,no_values,3,5,2,no_values,3,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,"2,5","1,2,3,4",no_values,"1,2",no_values,"1,2",no_values,2,no_values,"1,2,3,4",no_values,2,no_values,no_values,5,no_values,"1,3",no_values,1,no_values,1,no_values,3,"2,3",2,no_values,"1,3",no_values,,"2,5","1,2,3,4",no_values,"1,2",no_values,"1,2,3",no_values,4,no_values,"1,2","1,2",no_values,no_values,5,"2,6",no_values,"1,2,3",no_values,1,no_values,2,no_values,"1,2",3,no_values,"2,3",no_values,"1,3",no_values,70646,R_2zc4h9z9yJEKcS3,433,1,"2,4,5,6","Suppose you have planned to meet a friend next week and you want put this on your calendar when you with people you know (e.g., acquaintances, colleagues) at a park"
82,4,3,no_values,2,no_values,1,no_values,1,no_values,3,no_values,2,no_values,no_values,1,no_values,3,no_values,1,no_values,1,no_values,2,2,2,no_values,2,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,,4,3,no_values,2,no_values,1,no_values,1,no_values,2,2,no_values,no_values,1,1,no_values,2,no_values,3,no_values,1,no_values,2,1,no_values,2,no_values,2,no_values,93112,R_V44cNQlX4R4Bgpr,434,1,"1,2,3,4,6",Suppose you want to purchase something online when you are alone at your home.
83,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,2,"1,3,4",no_values,1,no_values,3,no_values,"1,2",no_values,"1,3,4",no_values,5,no_values,no_values,5,no_values,"1,2,3",no_values,1,no_values,1,no_values,3,"1,2,3",5,no_values,3,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,"2,5","1,2,3,4",no_values,"1,2",no_values,"1,2,3",no_values,4,no_values,"1,2,3,4",no_values,5,no_values,no_values,5,no_values,3,no_values,1,no_values,1,no_values,3,5,5,no_values,"1,3",no_values,,"2,5","3,4",no_values,"1,2",no_values,5,no_values,4,no_values,"1,2","1,2",no_values,no_values,5,"2,6",no_values,"2,3",no_values,1,no_values,1,no_values,"1,2","1,2,3",no_values,"2,3",no_values,"1,2,3",no_values,14337,R_2Tpes89mC9YA3Bg,436,1,"1,2,5,6",Suppose you want to a send an email when you are walking with a very close friend on a street.
84,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,"2,5","1,2,3,4",no_values,"1,2",no_values,3,no_values,2,no_values,"1,2,3,4",no_values,5,no_values,no_values,1,no_values,"2,3",no_values,1,no_values,1,no_values,"1,2",5,5,no_values,3,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,1,"2,4",no_values,3,no_values,5,no_values,2,no_values,"2,4",no_values,"2,3",no_values,no_values,5,no_values,4,no_values,3,no_values,"3,4",no_values,3,5,"2,3",no_values,4,no_values,"2,5","1,2,3,4",no_values,2,no_values,1,no_values,4,no_values,"1,2,3,4",no_values,5,no_values,no_values,1,no_values,"2,3",no_values,1,no_values,1,no_values,3,5,5,no_values,"1,3",no_values,,"1,2,4,5","1,2,3,4",no_values,"1,2,3",no_values,5,no_values,2,no_values,"1,2","1,2,3",no_values,no_values,5,"2,5,6",no_values,"1,2,3,4",no_values,1,no_values,1,no_values,"1,2",5,no_values,5,no_values,"1,2,3,4",no_values,27419,R_1hYiRNBZM2sd3jd,437,1,"2,4,5,6","Suppose you want to a send a text message when you are surrounded by people you know (e.g., acquaintances, colleagues) at your home."
85,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,"2,5",3,no_values,"1,2",no_values,5,no_values,4,no_values,3,no_values,5,no_values,no_values,1,no_values,"2,3",no_values,1,no_values,1,no_values,"1,2",5,5,no_values,3,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,1,"2,4",no_values,3,no_values,5,no_values,4,no_values,"2,4",no_values,"2,3",no_values,no_values,2,no_values,4,no_values,3,no_values,"3,4",no_values,"1,2",5,"2,3",no_values,4,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,,"1,2,5","2,3,4",no_values,"1,2,3",no_values,5,no_values,4,no_values,"1,2","1,2,3",no_values,no_values,5,"2,5",no_values,"1,2,3,4",no_values,1,no_values,"1,4",no_values,"1,2",5,no_values,"2,3",no_values,"1,2,3",no_values,20783,R_3CBdGgPRPAAjt30,444,1,"1,2,4,5,6","Suppose you want to browse the internet when you are at home with people you are close to (e.g., friends, family members)"
86,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,"2,5",3,no_values,2,no_values,5,no_values,4,no_values,3,no_values,5,no_values,no_values,5,no_values,"2,3",no_values,1,no_values,1,no_values,"1,2",1,5,no_values,3,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,,2,3,no_values,"1,2",no_values,5,no_values,4,no_values,"1,2","1,2",no_values,no_values,1,2,no_values,"2,3",no_values,1,no_values,1,no_values,"1,2","1,3",no_values,"2,3",no_values,3,no_values,50358,R_ykYhtxHoV3BgiL7,448,1,"1,2,4,5,6","Suppose you want to purchase something online when you are with people you know (e.g., acquaintances, colleagues) at a park."
87,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,2,7,no_values,5,no_values,5,no_values,1,no_values,7,no_values,5,no_values,no_values,5,no_values,6,no_values,3,no_values,1,no_values,4,3,5,no_values,6,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,,5,"1,3",no_values,2,no_values,"1,2,3",no_values,"1,2",no_values,4,2,no_values,no_values,3,2,no_values,6,no_values,1,no_values,1,no_values,4,"1,2",no_values,1,no_values,6,no_values,18551,R_2wh7aLiEAC7muto,449,1,"1,2,4",Suppose you want to a send a text message when you are alone at home
88,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,2,7,no_values,2,no_values,1,no_values,1,no_values,7,no_values,5,no_values,no_values,5,no_values,2,no_values,1,no_values,1,no_values,4,3,5,no_values,3,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,,4,7,no_values,2,no_values,1,no_values,1,no_values,3,2,no_values,no_values,5,4,no_values,2,no_values,1,no_values,1,no_values,3,1,no_values,5,no_values,3,no_values,92701,R_3iD3u7KJfT93zQd,460,1,"1,2,4",Suppose you want to read a digital document when you are at Starbucks.
89,4,3,no_values,2,no_values,"2,3",no_values,"1,2",no_values,3,no_values,5,no_values,no_values,5,no_values,2,no_values,3,no_values,1,no_values,3,1,5,no_values,"1,2,3",no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,no_values,,"1,2,5","2,3,4",no_values,"1,2",no_values,5,no_values,4,no_values,"1,2","1,2",no_values,no_values,5,1,no_values,"2,3",no_values,3,no_values,1,no_values,"1,2",5,no_values,3,no_values,"3,4",no_values,13638,R_3phCe6jpO4W350L,462,1,"1,2,3,5,6",Suppose you want to a send an email when you are alone at home
