,scenario,count
0,Suppose you are at a park with your close friends and you realize today is the last day to pay one of your bills online.,8
1,Suppose you want to purchase something online when you are with your close friends at Starbucks.,8
2,"Suppose you want to watch some video when you are with people you know (e.g., acquaintances, colleagues) at Starbucks",8
3,Suppose you want to check your social media status when you are at Starbucks.,8
4,Suppose you want to a send an email when you are walking with a very close friend on a street.,7
5,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded with people you are close to (e.g., friends, family members)at your home.",7
6,Suppose you want to browse the internet when you are with your close friends at a park.,6
7,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.",6
8,Suppose you want to a send a text message when you are alone at home,6
9,Suppose you want to find a route to home while walking on a street with your close friends.,5
10,Suppose you are at a park and you realize today is the last day to pay one of your bills online.,5
11,Suppose you want to read a digital document when you are at Starbucks.,5
12,"Suppose you want to a send an email when you are surrounded with people you are close to (e.g., friends, family members) at your home.",5
13,"Suppose you want to purchase something online when you are with people you know (e.g., acquaintances, colleagues) at a park.",5
14,"Suppose you want to browse the internet when you are with people you know (e.g., acquaintances, colleagues) at a park.",5
15,Suppose you want to asend a text message when you are alone at Starbucks.,5
16,"Suppose you want to take a click a photo when you with some people you know (e.g., acquaintances, colleagues) at home",5
17,Suppose you want to asend an email when you are alone at home,5
18,Suppose you are at sitting in a park and you want to play a digital/online game with some close friends.,5
19,"Suppose you want to a view a text message when you with people you know (e.g., acquaintances, colleagues) at a street.",5
20,"Suppose you are alone at home, you want to take a break from studying/working so you decide to play an online/digital game with some close friends .",5
21,Suppose you want to set up a reminder about something when you are at Starbucks by yourself.,5
22,"Suppose you want to listen to some audio when you with people you know (e.g., acquaintances, colleagues) at Starbucks",4
23,Suppose you want to call your mother for sharing an important update about your life yourself when you are with a very close friend at a park.,4
24,"Suppose you want to listen to some audio when you are at home with people you are close to (e.g., friends, family members).",4
25,Suppose you want to browse the internet when you alone at a park.,4
26,"Suppose you are at home with some people you know (e.g., acquaintances, colleagues) when you realize today is the last day to pay one of your bills online.",4
27,Suppose you want to a send an email when you are walking on a street.,4
28,"Suppose you want to set up a reminder when you with people you know (e.g., acquaintances, colleagues) at a park.",4
29,Suppose you want to call your mother for sharing an important update about your life when you are with a very close friend at a restaurant,4
30,Suppose you want to a view a text message when you are alone at a street.,4
31,Suppose you want to listen to some audio when you are with your close friends in a park.,4
32,Suppose you want to take a click a photo when you are with your close friends and family members at Starbucks,4
33,Suppose you are at sitting at Starbucks and you want to play a digital/online game.,4
34,Suppose you want to a send a text message when you are with a very close friend at a restaurant,4
35,Suppose you want to read a digital document when you are in a park surrounded by your close friends.,4
36,"Suppose you want to set up a reminder when you are with people you know (e.g., acquaintances, colleagues) at your home.",4
37,Suppose you want to a view a text message when you are alone at Starbucks.,4
38,"Suppose you want to read a digital document when you are at Starbucks with people you know (e.g., acquaintances, colleagues).",4
39,Suppose you want to listen to some audio when you are with your friends at Starbucks.,4
40,"Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).",4
41,"Suppose you want to watch some video when you are with people you know (e.g., acquaintances, colleagues) in a park.",4
42,"Suppose you are at a park with some people you know (e.g., acquaintances, colleagues) when you realize that you have to immediately pay one of your bills online.",4
43,Suppose you want to watch some video when you are alone at Starbucks.,3
44,Suppose you are on a short vacation alone and you want to take a picture in front of an iconic monument.,3
45,"Suppose you want to control some devices/appliances (e.g., smart lights) when you are alone at home.",3
46,"Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are surrounded by people you know (e.g., acquaintances, colleagues) at your home.",3
47,"Suppose you want to control some devices/appliances (e.g., smart lights) when you are at home with people you are close to (e.g., friends, family members)",3
48,"Suppose you are alone and relaxing at home, you have just read a new book that you loved and now you want a write a review for your close family and friends.",3
49,"Suppose you want to find a route to home while walking on a street with people you know (e.g., acquaintances, colleagues).",3
50,Suppose you want totake a click a photo when you are at Starbucks.,3
51,Suppose you want toread a digital document when you are at Starbucks surrounded with your closefriends.,3
52,Suppose you want to read a digital document when you are at a park.,3
53,Suppose you want to find a route to a coffee shop when you are at home with your by your colleagues,3
54,Suppose you want to browse through one of your social media profiles when you are at your home.,3
55,Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are with a very close friend at a restaurant,3
56,"Suppose you want to find a route to home when you are at Starbucks with people you know (e.g., acquaintances, colleagues).",3
57,Suppose you want to purchase something online when you are alone at a park.,3
58,"Suppose you are at work with some people you know (e.g., acquaintances, colleagues) when you realize that you have to immediately pay one of your bills online.",3
59,Suppose you want to listen to some audio when you are alone in a park.,3
60,Suppose you want to purchase something online when you are alone at Starbucks.,3
61,Suppose you want to purchase something online when you are alone at your home.,3
62,Suppose you want to take a click a photo when you are alone at home.,3
63,Suppose you want to a view a text message when you are with a very close friend at a restaurant,3
64,Suppose you want to watch some video when you are with your close friends in a park.,3
65,Suppose you are alone at home when you realize today is the last day to pay one of your bills online.,3
66,"Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.",3
67,"Suppose you want to read a digital document when you are at home with people you are close to (e.g., friends, family members).",3
68,Suppose you want to set up a reminder when you are at a park with close friends.,3
69,Suppose you are on a short vacation and you want to take a picture in front of an iconic monument when you are surrounded by many people.,3
70,Suppose you want to listen to some audio when you are alone at your home.,3
71,"Suppose you want to a send an email when you are surrounded by people you know (e.g., acquaintances, colleagues) your home.",3
72,"Suppose you want to read a digital document when you are in a park with people you know (e.g., acquaintances, colleagues).",3
73,Suppose you are at Starbucks with your close friends and you realize today is the last day to pay one of your bills online.,3
74,Suppose you want to call your mother for sharing an important update about your life when you are alone at a park,3
75,Suppose you want to set up a reminder when you are at a park by yourself.,3
76,Suppose you want to a send a text message when you are alone at a street.,3
