,scenario,count
0,"Suppose you want to watch some video when you are with people you know (e.g., acquaintances, colleagues) at Starbucks",11
1,Suppose you want to asend a text message when you are alone at Starbucks.,9
2,Suppose you are at a park with your close friends and you realize today is the last day to pay one of your bills online.,8
3,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded with people you are close to (e.g., friends, family members)at your home.",8
4,Suppose you are at sitting in a park and you want to play a digital/online game with some close friends.,8
5,Suppose you want to check your social media status when you are at Starbucks.,8
6,Suppose you want to a send an email when you are walking with a very close friend on a street.,8
7,Suppose you want to purchase something online when you are with your close friends at Starbucks.,8
8,"Suppose you want to purchase something online when you are with people you know (e.g., acquaintances, colleagues) at a park.",8
9,"Suppose you want to find a route to home when you are at Starbucks with people you know (e.g., acquaintances, colleagues).",7
10,Suppose you want to a send a text message when you are alone at home,7
11,Suppose you want to browse the internet when you are with your close friends at a park.,7
12,Suppose you have planned to meet a friend next week and you want put this on your calendar when you are alone at home,7
13,Suppose you are at sitting at Starbucks and you want to play a digital/online game.,6
14,Suppose you want to listen to some audio when you are with your close friends in a park.,6
15,Suppose you want to asend an email when you are alone at home,6
16,Suppose you want to set up a reminder when you are at a park with close friends.,6
17,"Suppose you want to listen to some audio when you with people you know (e.g., acquaintances, colleagues) at Starbucks",6
18,Suppose you want to a view a text message when you are walking with a very close friend on a street,6
19,Suppose you are alone at home when you realize today is the last day to pay one of your bills online.,6
20,Suppose you want to purchase something online when you are alone at your home.,6
21,Suppose you want to read a digital document when you are in a park surrounded by your close friends.,6
22,Suppose you want to listen to some audio when you are with your friends at Starbucks.,6
23,"Suppose you are alone and relaxing at home, you have just read a new book that you loved and now you want a write a review for your close family and friends.",6
24,Suppose you are at a park and you realize today is the last day to pay one of your bills online.,6
25,"Suppose you want to read a digital document when you are at home with people you are close to (e.g., friends, family members).",6
26,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.",6
27,"Suppose you want to take a click a photo when you with some people you know (e.g., acquaintances, colleagues) at home",6
